SalesOrder,SalesLineup,Bundle_History_ID,Taskid,TaskType,TaskIsDone,Entrytype,Action,History_Employee_Original,History_DateTime_CDT,History_Date_CDT
3010384708,30010,1276071,5865010,3,1,Tasks,Modified,672851,2024-06-28 11:22:59.550,2024-06-28
3010384708,30010,1276071,5865019,3,1,Tasks,Modified,672851,2024-06-28 11:22:59.550,2024-06-28
3010384708,30010,1276071,5865016,3,1,Tasks,Modified,672851,2024-06-28 11:22:59.550,2024-06-28
3010384708,30010,1276071,5865013,3,1,Tasks,Modified,672851,2024-06-28 11:22:59.550,2024-06-28
3010384708,30010,1276071,5864888,4,1,Tasks,Modified,672851,2024-06-28 11:22:50.380,2024-06-28
3010384708,32010,1278896,5894504,4,1,Tasks,Modified,685300,2024-06-30 13:11:28.290,2024-06-30
3010384708,32010,1278896,5894355,3,1,Tasks,Modified,685300,2024-06-30 13:08:54.293,2024-06-30
3010384708,32010,1278896,5893884,4,1,Tasks,Modified,0455874,2024-07-02 11:04:19.210,2024-07-02
3010384708,32010,1278896,5894445,4,1,Tasks,Modified,685300,2024-06-30 13:10:17.707,2024-06-30
3010384708,32010,1278896,5894447,4,1,Tasks,Modified,685300,2024-06-30 13:12:01.013,2024-06-30
3010384708,32010,1278896,5893700,4,1,Tasks,Modified,0455874,2024-07-02 09:20:24.193,2024-07-02
3010384708,32010,1278896,5893881,4,1,Tasks,Modified,0455874,2024-07-02 11:07:42.990,2024-07-02
3010384708,32010,1278896,5894392,3,1,Tasks,Modified,685300,2024-06-30 13:09:48.653,2024-06-30
3010384708,32010,1278896,5893940,4,1,Tasks,Modified,0455874,2024-07-02 10:24:32.260,2024-07-02
3010384708,32010,1278896,5893978,4,1,Tasks,Modified,0455874,2024-07-02 10:53:19.983,2024-07-02
3010384708,32010,1278896,5893858,4,1,Tasks,Modified,0455874,2024-07-02 11:12:10.437,2024-07-02
3010384708,32010,1278896,5893712,4,1,Tasks,Modified,0455874,2024-07-02 09:13:55.343,2024-07-02
3010384708,32010,1278896,5893692,4,1,Tasks,Modified,0455874,2024-07-02 09:15:10.240,2024-07-02
3010384708,32010,1278896,5893975,4,1,Tasks,Modified,0455874,2024-07-02 10:50:07.140,2024-07-02
3010384708,32010,1278896,5894479,4,1,Tasks,Modified,685300,2024-06-30 13:12:08.457,2024-06-30
3010384708,32010,1278896,5894351,3,1,Tasks,Modified,685300,2024-06-30 13:08:48.017,2024-06-30
3010384708,32010,1278896,5894448,2,1,Tasks,Modified,685300,2024-06-30 12:39:10.260,2024-06-30
3010384708,32010,1278896,5894449,3,1,Tasks,Modified,685300,2024-06-30 12:39:10.260,2024-06-30
3010384708,32010,1278896,5894347,3,1,Tasks,Modified,685300,2024-06-30 13:08:48.017,2024-06-30
3010384708,32010,1278896,5893921,4,1,Tasks,Modified,0455874,2024-07-02 10:39:53.800,2024-07-02
3010384708,32010,1278896,5893704,4,1,Tasks,Modified,0455874,2024-07-02 09:25:31.480,2024-07-02
3010384708,32010,1278896,5894366,4,1,Tasks,Modified,685300,2024-06-30 13:10:35.020,2024-06-30
3010384708,32010,1278896,5894343,3,1,Tasks,Modified,685300,2024-06-30 12:43:40.437,2024-06-30
3010384708,32010,1278896,5894068,1,1,Tasks,Modified,0455874,2024-07-02 08:47:52.237,2024-07-02
3010384708,32010,1278896,5893887,4,1,Tasks,Modified,0455874,2024-07-02 11:03:04.200,2024-07-02
3010384708,32010,1278896,5894390,4,1,Tasks,Modified,685300,2024-06-30 13:11:04.380,2024-06-30
3010384708,32010,1278896,5893167,4,1,Tasks,Modified,0455874,2024-07-02 09:03:53.003,2024-07-02
3010384708,32010,1278896,5893937,4,1,Tasks,Modified,0455874,2024-07-02 10:26:09.617,2024-07-02
3010384708,32010,1278896,5894146,4,1,Tasks,Modified,153759,2024-07-02 06:50:00.887,2024-07-02
3010384708,32010,1278896,5893165,4,1,Tasks,Modified,0455874,2024-07-02 09:04:01.880,2024-07-02
3010384708,32010,1278896,5894069,2,1,Tasks,Modified,0455874,2024-07-02 10:20:50.873,2024-07-02
3010384708,32010,1278896,5894308,1,1,Tasks,Modified,153759,2024-07-02 06:50:35.257,2024-07-02
3010384708,32010,1278896,5894337,3,1,Tasks,Modified,685300,2024-06-30 13:09:00.743,2024-06-30
3010384708,32010,1278896,5894508,4,1,Tasks,Modified,685300,2024-06-30 13:10:11.527,2024-06-30
3010384708,32010,1278896,5894412,4,1,Tasks,Modified,685300,2024-06-30 13:11:43.357,2024-06-30
3010384708,32010,1278896,5893168,4,1,Tasks,Modified,0455874,2024-07-02 09:07:16.443,2024-07-02
3010384708,32010,1278896,5893915,4,1,Tasks,Modified,0455874,2024-07-02 10:47:00.773,2024-07-02
3010384708,32010,1278896,5894368,3,1,Tasks,Modified,685300,2024-06-30 13:09:25.130,2024-06-30
3010384708,32010,1278896,5894471,4,1,Tasks,Modified,685300,2024-06-30 13:10:46.400,2024-06-30
3010384708,32010,1278896,5893166,4,1,Tasks,Modified,0455874,2024-07-02 09:07:09.443,2024-07-02
3010384708,32010,1278896,5893708,4,1,Tasks,Modified,0455874,2024-07-02 09:12:44.107,2024-07-02
3010384708,32010,1278896,5893909,4,1,Tasks,Modified,0455874,2024-07-02 10:46:51.593,2024-07-02
3010384708,32010,1278896,5894498,4,1,Tasks,Modified,685300,2024-06-30 13:11:22.080,2024-06-30
3010384708,32010,1278896,5894143,4,1,Tasks,Modified,153759,2024-07-02 06:49:48.590,2024-07-02
3010384708,32010,1278896,5893981,4,1,Tasks,Modified,0455874,2024-07-02 10:56:40.720,2024-07-02
3010384708,32010,1278896,5894364,4,1,Tasks,Modified,685300,2024-06-30 13:10:40.517,2024-06-30
3010384708,32010,1278896,5894500,4,1,Tasks,Modified,685300,2024-06-30 13:11:55.113,2024-06-30
